 · «%s»: владелец + 	 · «%s»: ээси + 
 · Карта: %s	 · Карта: %s
 · Наличные: %s · Карта: %s	 · Накталай: %s · Карта: %s
 · Принял: %s	 · Кабыл алды: %s
 · Пропущено (уже есть): %s	 · Өткөрүлүп жиберилди (мурунтан бар): %s
 · до 	 · чейин 
 · закуп 	 · сатып алуу 
 · закуп %s	 · сатып алуу %s
 · обычный	 · кадимки
 · продано %s %s	 · сатылды %s %s
 · скидка %s	 · арзандатуу %s
 Проведите приход на странице «Приход».	 «Кириш» бетинде киришти жүргүзүңүз.
 Продажа в минус запрещена — уменьшите количество.	 Минуска сатууга тыюу салынган — санды азайтыңыз.
 за период	 мезгил үчүн
 из 	 ичинен 
 итог в шапке посчитан по всем.	 баш бөлүктөгү жыйынтык баары боюнча эсептелген.
 останутся на складе — просто без категории в списке.	 кампада калат — тизмеде жөн эле категориясыз болот.
 — количество	 — саны
 — сколько вернуть	 — канча кайтаруу
 — списать (макс. 	 — эсептен чыгаруу (макс. 
 — фактический остаток	 — иш жүзүндөгү калдык
 → стало: 	 → болду: 
%s · %s л.	%s · %s б.
%s · Наличные: %s	%s · Накталай: %s
%s мм	%s мм
%s поз.	%s поз.
%s поз. · отложен %s	%s поз. · кийинкиге калтырылды %s
%s чек. · средний %s	%s чек · орточо %s
%s шт	%s даана
%s — количество	%s — саны
%s: %s Печатаем через системный диалог.	%s: %s Системалык диалог аркылуу басып чыгарабыз.
+ Добавить товар	+ Товар кошуу
+%s · %s поз.	+%s · %s поз.
1. Включите принтер и зажмите кнопку подачи, если он просит режим сопряжения.\n2. Откройте настройки Bluetooth и сопрягите устройство — код обычно 0000 или 1234.\n3. Вернитесь сюда и выберите его в списке.\n\nЕсли принтер не отвечает, чек всё равно не пропадёт: он уйдёт в системный диалог печати Android.	1. Принтерди күйгүзүңүз, эгер ал жупташтыруу режимин сурап жатса, кагаз берүү баскычын басып туруңуз.\n2. Bluetooth жөндөөлөрүн ачып, түзмөктү жупташтырыңыз — код көбүнчө 0000 же 1234.\n3. Бул жерге кайтып келип, аны тизмеден тандаңыз.\n\nЭгер принтер жооп бербесе, чек баары бир жоголбойт: ал Android'дин системалык басып чыгаруу диалогуна кетет.
10 дней	10 күн
58 мм	58 мм
6-значный код	6 сандуу код
72 мм	72 мм
80 мм	80 мм
Bluetooth выключен	Bluetooth өчүк
Bluetooth-принтер	Bluetooth-принтер
FonRo · Новый заказ	FonRo · Жаңы буйрутма
FonRo · Поддержка	FonRo · Колдоо
FonRo Премиум активен	FonRo Премиум активдүү
sale.title	sale.title
«%s» будет скрыт из продажи. Остаток и история сохранятся.	«%s» сатуудан жашырылат. Калдык жана тарых сакталат.
«%s» исчезнет из фильтров. 	«%s» чыпкалардан жоголот. 
«%s» исчезнет из фильтров. Товары останутся на складе.	«%s» чыпкалардан жоголот. Товарлар кампада калат.
«%s» на %s будет отменён.	«%s» %s үчүн жокко чыгарылат.
«%s» сразу потеряет доступ. 	«%s» дароо мүмкүнчүлүгүн жоготот. 
«%s» сразу потеряет доступ. Слот ключа освободится.	«%s» дароо мүмкүнчүлүгүн жоготот. Ачкычтын оруну бошойт.
«%s» уже в документе	«%s» документте мурунтан бар
«%s»: в чеке %s, на складе %s.	«%s»: чекте %s, кампада %s.
«%s»: добавлено %s %s — больше нет на складе	«%s»: %s %s кошулду — кампада мындан ашык жок
«%s»: максимум %s %s — в минус нельзя	«%s»: максимум %s %s — минуска болбойт
«%s»: на складе ноль — списывать нечего	«%s»: кампада нөл — эсептен чыгарууга эч нерсе жок
«%s»: не указана цена продажи — продать нельзя	«%s»: сатуу баасы көрсөтүлгөн эмес — сатууга болбойт
«%s»: нет на складе	«%s»: кампада жок
«Выйти» на устройстве освобождает место само. Отвяжите устройство, если оно незнакомое или потеряно.	Түзмөктөгү «Чыгуу» орунду өзү бошотот. Түзмөк тааныш эмес же жоголгон болсо, аны ажыратыңыз.
· остаток %s %s	· калдык %s %s
Автор не указан	Автор көрсөтүлгөн эмес
Адрес	Дарек
Акт списания	Эсептен чыгаруу актысы
Активен	Активдүү
Активна	Активдүү
Активна до %s, потом отключится	%s чейин активдүү, андан кийин өчөт
Активна до конца оплаченного периода	Төлөнгөн мөөнөттүн аягына чейин активдүү
Активны: 	Активдүү: 
Активные	Активдүү
Активные входы	Активдүү кирүүлөр
Активные категории	Активдүү категориялар
Активные товары	Активдүү товарлар
Активных категорий нет.	Активдүү категориялар жок.
Арт: %s	Арт: %s
Артикул	Артикул
Артикул / внутренний код	Артикул / ички код
Архив	Архив
Архив · 	Архив · 
Архив категорий	Категориялар архиви
Архив пуст.	Архив бош.
Архив товаров	Товарлар архиви
Архивировать	Архивдөө
Архивировать категорию?	Категорияны архивдейсизби?
Архивировать товар?	Товарды архивдейсизби?
Архивная категория не показывается в фильтрах и в форме товара. Товары при этом остаются на складе.	Архивдеги категория чыпкаларда жана товар формасында көрүнбөйт. Товарлар болсо кампада калат.
Аудит	Аудит
Без доступа к Bluetooth список принтеров не открыть	Bluetooth уруксатысыз принтерлердин тизмесин ачууга болбойт
Без имени	Атсыз
Без категории	Категориясыз
Без клиента	Кардарсыз
Без кода	Кодсуз
Без кода · %s	Кодсуз · %s
Без лишнего тапа: чек уходит на принтер, как только продажа проведена	Ашыкча басуусуз: сатуу жүргүзүлөр замат чек принтерге кетет
Без поставщика	Жеткирүүчүсүз
Бесплатные продажи закончились (%s). Выберите тариф, чтобы продолжать продавать и проводить приход.	Акысыз сатуулар бүттү (%s). Сатууну жана киришти улантуу үчүн тариф тандаңыз.
Бесплатный лимит веб-версии FonRo (%s) исчерпан. 	FonRo веб-версиясынын акысыз лимити (%s) түгөндү. 
Бесплатный полный доступ активен	Акысыз толук мүмкүнчүлүк активдүү
Бесплатный полный доступ до %s	%s чейин акысыз толук мүмкүнчүлүк
Больше остатка списать нельзя	Калдыктан ашык эсептен чыгарууга болбойт
Буфер обмена недоступен	Алмашуу буфери жеткиликсиз
Было: 	Болгон: 
Быстрые действия	Тез аракеттер
В архив	Архивге
В архиве	Архивде
В ближайшие дни: %s · 	Жакынкы күндөрдө: %s · 
В долг	Карызга
В заказе нет позиций.	Буйрутмада позициялар жок.
В кассе уже набран чек: позиций — %s. 	Кассада чек мурунтан терилген: позициялар — %s. 
В корзину	Себетке
В окне печати поставьте масштаб 100% и снимите поля по умолчанию — иначе наклейки уедут мимо разметки листа.	Басып чыгаруу терезесинде масштабды 100% коюп, демейки талааларды алып салыңыз — болбосо чаптамалар барактын белгилөөсүнөн жылып кетет.
В очереди	Кезекте
В этой категории ничего не найдено.	Бул категорияда эч нерсе табылган жок.
В этой категории пока нет товаров.	Бул категорияда азырынча товарлар жок.
В этом статусе пусто.	Бул статуста бош.
ВСЕ ПРОДАННЫЕ ТОВАРЫ	САТЫЛГАН БАРДЫК ТОВАРЛАР
Валюта витрины	Витринанын валютасы
Валюта кассы	Кассанын валютасы
Валюта сохранена	Валюта сакталды
Вариант: цвет, размер, память	Вариант: түс, өлчөм, эстутум
Ваш ответ	Сиздин жообуңуз
Ваша версия: 	Сиздин версияңыз: 
Введите 6-значный код из письма.	Каттагы 6 сандуу кодду киргизиңиз.
Введите email и пароль.	Email жана сырсөздү киргизиңиз.
Введите email.	Email киргизиңиз.
Введите имя клиента	Кардардын атын киргизиңиз
Введите имя сотрудника	Кызматкердин атын киргизиңиз
Введите ключ доступа полностью.	Кирүү ачкычын толук киргизиңиз.
Введите название	Аталышын киргизиңиз
Введите название товара.	Товардын аталышын киргизиңиз.
Введите номер чека	Чектин номерин киргизиңиз
Введите номер чека или отсканируйте QR-код с чека.	Чектин номерин киргизиңиз же чектеги QR-кодду скандаңыз.
Введите штрихкод	Штрих-кодду киргизиңиз
Верно	Туура
Вернуть	Кайтаруу
Вернуть · 	Кайтаруу · 
Вернуть в кассу	Кассага кайтаруу
Вернуть всё	Баарын кайтаруу
Вес	Салмагы
Витрина закрыта: покупатели не видят магазин.	Витрина жабык: сатып алуучулар дүкөндү көрүшпөйт.
Витрина открыта: покупатели видят товары и делают заказы.	Витрина ачык: сатып алуучулар товарларды көрүп, буйрутма беришет.
Владелец	Ээси
Владелец + 	Ээси + 
Владелец входит по email и паролю — ключ доступа ему не нужен, а права у него полные и не редактируются.	Ээси email жана сырсөз менен кирет — ага кирүү ачкычы керек эмес, ал эми укуктары толук жана өзгөртүлбөйт.
Владелец имеет полный доступ ко всем разделам.	Ээсинин бардык бөлүмдөргө толук мүмкүнчүлүгү бар.
Влияет только на то, как касса показывает суммы. У витрины и iOS-приложения валюта своя.	Кассанын сумманы кандай көрсөткөнүнө гана таасир этет. Витрина менен iOS-колдонмонун валютасы өзүнчө.
Внесено при покупке	Сатып алууда киргизилген
Внесено сейчас:	Азыр киргизилди:
Внесите фактический остаток хотя бы по одному товару	Жок дегенде бир товар боюнча иш жүзүндөгү калдыкты киргизиңиз
Возврат	Кайтаруу
Возврат 	Кайтаруу 
Возврат -%s	Кайтаруу -%s
Возврат · 	Кайтаруу · 
Возврат от %s	%s кайтаруусу
Возврат проведён	Кайтаруу жүргүзүлдү
Возврат товара	Товарды кайтаруу
Возврат −%s	Кайтаруу −%s
Возвратов	Кайтаруулар
Возвратов по этому товару не было.	Бул товар боюнча кайтаруулар болгон эмес.
Возвратов пока нет.	Азырынча кайтаруулар жок.
Возвраты	Кайтаруулар
Возвраты доступны сотрудникам с правом «Приём возвратов».	Кайтарууларды «Кайтарууларды кабыл алуу» укугу бар кызматкерлер жүргүзө алат.
Возвраты по дням	Күндөр боюнча кайтаруулар
Возвраты по часам	Сааттар боюнча кайтаруулар
Возвращён	Кайтарылды
Возвращённые товары	Кайтарылган товарлар
Возобновить подписку	Жазылууну улантуу
Войти	Кирүү
Войти с него снова можно будет тем же ключом — слот освободится.	Ага кайра ошол эле ачкыч менен кирүүгө болот — орун бошойт.
