 · «%s»: владелец + 	 · «%s»: иесі + 
 · Карта: %s	 · Карта: %s
 · Наличные: %s · Карта: %s	 · Қолма-қол: %s · Карта: %s
 · Принял: %s	 · Қабылдаған: %s
 · Пропущено (уже есть): %s	 · Өткізіп жіберілді (бар): %s
 · до 	 · дейін 
 · закуп 	 · сатып алу 
 · закуп %s	 · сатып алу %s
 · обычный	 · қарапайым
 · продано %s %s	 · сатылды %s %s
 · скидка %s	 · жеңілдік %s
 Проведите приход на странице «Приход».	 Кірісті «Кіріс» бетінде өткізіңіз.
 Продажа в минус запрещена — уменьшите количество.	 Минусқа сатуға болмайды — санын азайтыңыз.
 за период	 кезең ішінде
 из 	 ішінен 
 итог в шапке посчитан по всем.	 жоғарыдағы жиынтық барлығы бойынша есептелген.
 останутся на складе — просто без категории в списке.	 қоймада қалады — тізімде санатсыз болады.
 — количество	 — саны
 — сколько вернуть	 — қанша қайтару керек
 — списать (макс. 	 — есептен шығару (макс. 
 — фактический остаток	 — нақты қалдық
 → стало: 	 → болды: 
%s · %s л.	%s · %s парақ
%s · Наличные: %s	%s · Қолма-қол: %s
%s мм	%s мм
%s поз.	%s поз.
%s поз. · отложен %s	%s поз. · кейінге қалдырылды %s
%s чек. · средний %s	%s чек · орташа %s
%s шт	%s дана
%s — количество	%s — саны
%s: %s Печатаем через системный диалог.	%s: %s Жүйелік диалог арқылы басып шығарамыз.
+ Добавить товар	+ Тауар қосу
+%s · %s поз.	+%s · %s поз.
1. Включите принтер и зажмите кнопку подачи, если он просит режим сопряжения.\n2. Откройте настройки Bluetooth и сопрягите устройство — код обычно 0000 или 1234.\n3. Вернитесь сюда и выберите его в списке.\n\nЕсли принтер не отвечает, чек всё равно не пропадёт: он уйдёт в системный диалог печати Android.	1. Принтерді қосыңыз, ол жұптасу режимін сұраса, беру түймесін басып тұрыңыз.\n2. Bluetooth параметрлерін ашып, құрылғыны жұптаңыз — код әдетте 0000 немесе 1234.\n3. Осында оралып, оны тізімнен таңдаңыз.\n\nПринтер жауап бермесе, чек бәрібір жоғалмайды: ол Android жүйесінің басып шығару диалогына жіберіледі.
10 дней	10 күн
58 мм	58 мм
6-значный код	6 таңбалы код
72 мм	72 мм
80 мм	80 мм
Bluetooth выключен	Bluetooth өшірулі
Bluetooth-принтер	Bluetooth-принтер
FonRo · Новый заказ	FonRo · Жаңа тапсырыс
FonRo · Поддержка	FonRo · Қолдау
FonRo Премиум активен	FonRo Премиум белсенді
sale.title	sale.title
«%s» будет скрыт из продажи. Остаток и история сохранятся.	«%s» сатылымнан жасырылады. Қалдық пен тарих сақталады.
«%s» исчезнет из фильтров. 	«%s» сүзгілерден жоғалады. 
«%s» исчезнет из фильтров. Товары останутся на складе.	«%s» сүзгілерден жоғалады. Тауарлар қоймада қалады.
«%s» на %s будет отменён.	«%s» %s үшін тоқтатылады.
«%s» сразу потеряет доступ. 	«%s» бірден рұқсатынан айырылады. 
«%s» сразу потеряет доступ. Слот ключа освободится.	«%s» бірден рұқсатынан айырылады. Кілт слоты босайды.
«%s» уже в документе	«%s» құжатта бар
«%s»: в чеке %s, на складе %s.	«%s»: чекте %s, қоймада %s.
«%s»: добавлено %s %s — больше нет на складе	«%s»: %s %s қосылды — қоймада қалмады
«%s»: максимум %s %s — в минус нельзя	«%s»: ең көбі %s %s — минусқа болмайды
«%s»: на складе ноль — списывать нечего	«%s»: қоймада нөл — есептен шығаратын ештеңе жоқ
«%s»: не указана цена продажи — продать нельзя	«%s»: сату бағасы көрсетілмеген — сатуға болмайды
«%s»: нет на складе	«%s»: қоймада жоқ
«Выйти» на устройстве освобождает место само. Отвяжите устройство, если оно незнакомое или потеряно.	Құрылғыдағы «Шығу» орынды өзі босатады. Құрылғы бөтен немесе жоғалған болса, оны ажыратыңыз.
· остаток %s %s	· қалдық %s %s
Автор не указан	Автор көрсетілмеген
Адрес	Мекенжай
Акт списания	Есептен шығару актісі
Активен	Белсенді
Активна	Белсенді
Активна до %s, потом отключится	%s дейін белсенді, содан кейін өшеді
Активна до конца оплаченного периода	Төленген кезең соңына дейін белсенді
Активны: 	Белсенді: 
Активные	Белсенді
Активные входы	Белсенді кірулер
Активные категории	Белсенді санаттар
Активные товары	Белсенді тауарлар
Активных категорий нет.	Белсенді санаттар жоқ.
Арт: %s	Арт: %s
Артикул	Артикул
Артикул / внутренний код	Артикул / ішкі код
Архив	Мұрағат
Архив · 	Мұрағат · 
Архив категорий	Санаттар мұрағаты
Архив пуст.	Мұрағат бос.
Архив товаров	Тауарлар мұрағаты
Архивировать	Мұрағаттау
Архивировать категорию?	Санатты мұрағаттау керек пе?
Архивировать товар?	Тауарды мұрағаттау керек пе?
Архивная категория не показывается в фильтрах и в форме товара. Товары при этом остаются на складе.	Мұрағаттағы санат сүзгілерде және тауар формасында көрсетілмейді. Тауарлар қоймада қала береді.
Аудит	Аудит
Без доступа к Bluetooth список принтеров не открыть	Bluetooth рұқсатысыз принтерлер тізімін ашу мүмкін емес
Без имени	Атауы жоқ
Без категории	Санатсыз
Без клиента	Клиентсіз
Без кода	Кодсыз
Без кода · %s	Кодсыз · %s
Без лишнего тапа: чек уходит на принтер, как только продажа проведена	Артық түртусіз: сатылым өткізілген бойда чек принтерге жіберіледі
Без поставщика	Жеткізушісіз
Бесплатные продажи закончились (%s). Выберите тариф, чтобы продолжать продавать и проводить приход.	Тегін сатылымдар аяқталды (%s). Сатуды және кірісті жалғастыру үшін тарифті таңдаңыз.
Бесплатный лимит веб-версии FonRo (%s) исчерпан. 	FonRo веб-нұсқасының тегін лимиті (%s) таусылды. 
Бесплатный полный доступ активен	Тегін толық қолжетімділік белсенді
Бесплатный полный доступ до %s	%s дейін тегін толық қолжетімділік
Больше остатка списать нельзя	Қалдықтан артық есептен шығаруға болмайды
Буфер обмена недоступен	Алмасу буфері қолжетімсіз
Было: 	Болған: 
Быстрые действия	Жылдам әрекеттер
В архив	Мұрағатқа
В архиве	Мұрағатта
В ближайшие дни: %s · 	Таяу күндері: %s · 
В долг	Қарызға
В заказе нет позиций.	Тапсырыста позициялар жоқ.
В кассе уже набран чек: позиций — %s. 	Кассада чек терілген: позициялар — %s. 
В корзину	Себетке
В окне печати поставьте масштаб 100% и снимите поля по умолчанию — иначе наклейки уедут мимо разметки листа.	Басып шығару терезесінде масштабты 100% қойып, әдепкі жиектерді алып тастаңыз — әйтпесе жапсырмалар парақ разметкасынан шығып кетеді.
В очереди	Кезекте
В этой категории ничего не найдено.	Бұл санаттан ештеңе табылмады.
В этой категории пока нет товаров.	Бұл санатта әзірге тауарлар жоқ.
В этом статусе пусто.	Бұл күйде бос.
ВСЕ ПРОДАННЫЕ ТОВАРЫ	САТЫЛҒАН БАРЛЫҚ ТАУАРЛАР
Валюта витрины	Витрина валютасы
Валюта кассы	Касса валютасы
Валюта сохранена	Валюта сақталды
Вариант: цвет, размер, память	Нұсқа: түс, өлшем, жады
Ваш ответ	Сіздің жауабыңыз
Ваша версия: 	Сіздің нұсқаңыз: 
Введите 6-значный код из письма.	Хаттағы 6 таңбалы кодты енгізіңіз.
Введите email и пароль.	Email мен құпиясөзді енгізіңіз.
Введите email.	Email енгізіңіз.
Введите имя клиента	Клиент атын енгізіңіз
Введите имя сотрудника	Қызметкер атын енгізіңіз
Введите ключ доступа полностью.	Кіру кілтін толық енгізіңіз.
Введите название	Атауын енгізіңіз
Введите название товара.	Тауар атауын енгізіңіз.
Введите номер чека	Чек нөмірін енгізіңіз
Введите номер чека или отсканируйте QR-код с чека.	Чек нөмірін енгізіңіз немесе чектегі QR-кодты сканерлеңіз.
Введите штрихкод	Штрих-кодты енгізіңіз
Верно	Дұрыс
Вернуть	Қайтару
Вернуть · 	Қайтару · 
Вернуть в кассу	Кассаға қайтару
Вернуть всё	Барлығын қайтару
Вес	Салмақ
Витрина закрыта: покупатели не видят магазин.	Витрина жабық: сатып алушылар дүкенді көрмейді.
Витрина открыта: покупатели видят товары и делают заказы.	Витрина ашық: сатып алушылар тауарларды көреді және тапсырыс береді.
Владелец	Иесі
Владелец + 	Иесі + 
Владелец входит по email и паролю — ключ доступа ему не нужен, а права у него полные и не редактируются.	Иесі email мен құпиясөз арқылы кіреді — оған кіру кілті қажет емес, ал құқықтары толық және өзгертілмейді.
Владелец имеет полный доступ ко всем разделам.	Иесінің барлық бөлімдерге толық қолжетімділігі бар.
Влияет только на то, как касса показывает суммы. У витрины и iOS-приложения валюта своя.	Тек касса сомаларды қалай көрсететініне әсер етеді. Витрина мен iOS қосымшасының валютасы бөлек.
Внесено при покупке	Сатып алу кезінде енгізілген
Внесено сейчас:	Қазір енгізілді:
Внесите фактический остаток хотя бы по одному товару	Кемінде бір тауар бойынша нақты қалдықты енгізіңіз
Возврат	Қайтару
Возврат 	Қайтару 
Возврат -%s	Қайтару -%s
Возврат · 	Қайтару · 
Возврат от %s	%s қайтаруы
Возврат проведён	Қайтару өткізілді
Возврат товара	Тауарды қайтару
Возврат −%s	Қайтару −%s
Возвратов	Қайтарулар
Возвратов по этому товару не было.	Бұл тауар бойынша қайтарулар болмаған.
Возвратов пока нет.	Әзірге қайтарулар жоқ.
Возвраты	Қайтарулар
Возвраты доступны сотрудникам с правом «Приём возвратов».	Қайтарулар «Қайтаруды қабылдау» құқығы бар қызметкерлерге қолжетімді.
Возвраты по дням	Күндер бойынша қайтарулар
Возвраты по часам	Сағаттар бойынша қайтарулар
Возвращён	Қайтарылды
Возвращённые товары	Қайтарылған тауарлар
Возобновить подписку	Жазылымды жаңарту
Войти	Кіру
Войти с него снова можно будет тем же ключом — слот освободится.	Оған қайта сол кілтпен кіруге болады — слот босайды.
Восстановить	Қалпына келтіру
Восстановление пароля	Құпиясөзді қалпына келтіру
Все	Барлығы
Все (%s)	Барлығы (%s)
Все · 	Барлығы · 
Все · %s	Барлығы · %s
Все выбранные товары отмечены.	Таңдалған барлық тауарлар белгіленді.
Все категории	Барлық санаттар
Все позиции, скидка и клиент будут сброшены.	Барлық позициялар, жеңілдік және клиент тазаланады.
Все чеки	Барлық чектер
Все чеки отправлены.	Барлық чектер жіберілді.
Все штрихкоды	Барлық штрих-кодтар
Всего на складе, шт	Қоймада барлығы, дана
Всего: 	Барлығы: 
Вся сумма — картой	Барлық сома — картамен
Всё возвращено	Барлығы қайтарылды
Всё спокойно	Бәрі тыныш
Вход владельца	Иесінің кіруі
Вход выключен, права сохранятся	Кіру өшірілді, құқықтар сақталады
Вход по ключу · права доступа	Кілтпен кіру · қолжетімділік құқықтары
Вход по ключу работает	Кілтпен кіру жұмыс істейді
Входим…	Кіріп жатырмыз…
Выберите готовые товары — они добавятся в магазин с фото и штрихкодом. Цены и остатки заполнит приход.	Дайын тауарларды таңдаңыз — олар дүкенге фото және штрих-кодымен қосылады. Бағалар мен қалдықтарды кіріс толтырады.
Выберите клиента (обязательно)	Клиентті таңдаңыз (міндетті)
Выберите месяц	Айды таңдаңыз
Выберите поставщика и товары, которые пришли	Жеткізушіні және келген тауарларды таңдаңыз
Выберите товары	Тауарларды таңдаңыз
Выбран	Таңдалды
Выбран: %s	Таңдалды: %s
Выбрана	Таңдалды
Выдано кодов: %s, не удалось: %s	Берілген кодтар: %s, сәтсіз: %s
Выдать внутренние коды	Ішкі кодтарды беру
Выдать штрихкоды?	Штрих-кодтар берілсін бе?
Выйти	Шығу
Выйти из аккаунта?	Аккаунттан шығасыз ба?
Выполнен	Орындалды
Выполненные	Орындалғандар
Выпустить	Шығару
Выпустить новый ключ?	Жаңа кілт шығарылсын ба?
Выручка	Түсім
Где активен ваш ключ доступа	Кіру кілтіңіз қайда белсенді
Где искать	Қайдан іздеу
Где открыт ваш ключ	Кілтіңіз қайда ашық
Годен до 	Жарамдылық мерзімі 
Готовится	Дайындалуда
Готово	Дайын
Готовятся	Дайындалуда
График возвратов %s	%s қайтарулар графигі
График долгов %s	%s қарыздар графигі
График прибыли %s	%s пайда графигі
График продаж %s	%s сатылым графигі
Да, вернуть	Иә, қайтару
Да, выдать	Иә, беру
Да, выйти	Иә, шығу
Да, отменить	Иә, болдырмау
Да, очистить	Иә, тазалау
Да, подтверждаю	Иә, растаймын
Да, провести	Иә, өткізу
Да, удалить	Иә, жою
Данных за период нет.	Кезең бойынша деректер жоқ.
Дата	Күні
Дата ставится автоматически: %s	Күні автоматты қойылады: %s
Действие	Әрекет
Действия	Әрекеттер
Действует до %s	%s дейін жарамды
Действует, когда указана локация магазина, а покупатель отправил свою при заказе.	Дүкен локациясы көрсетілгенде және сатып алушы тапсырыс кезінде өзінікін жібергенде жұмыс істейді.
День закрыт: изменить и отменить можно только расход за сегодня.	Күн жабық: тек бүгінгі шығысты өзгертуге және болдырмауға болады.
Детали долга	Қарыз мәліметтері
Динамика %s	%s динамикасы
Длина	Ұзындық
Для выбранного периода расходы не найдены.	Таңдалған кезең үшін шығыстар табылмады.
Для долга выберите клиента	Қарыз үшін клиентті таңдаңыз
Добавить	Қосу
Добавить · 	Қосу · 
Добавить возврат	Қайтару қосу
Добавить выбранные	Таңдалғандарды қосу
Добавить выбранные (%s)	Таңдалғандарды қосу (%s)
Добавить категорию	Санат қосу
Добавить клиента	Клиент қосу
Добавить код	Код қосу
Добавить нового сотрудника	Жаңа қызметкер қосу
Добавить поставщика	Жеткізуші қосу
Добавить расход	Шығыс қосу
Добавить товар	Тауар қосу
Добавить товары	Тауарлар қосу
Добавлено из каталога: %s	Каталогтан қосылды: %s
Добавлено: 	Қосылды: 
Добавлено: %s	Қосылды: %s
Добавьте сюда штрихкоды разных партий этого же товара. При продаже сканер найдёт товар по любому из них.	Осы тауардың әртүрлі партияларының штрих-кодтарын осында қосыңыз. Сату кезінде сканер тауарды олардың кез келгені бойынша табады.
Добавьте товар	Тауар қосыңыз
Документ отменён — товар вернулся на склад	Құжат болдырылмады — тауар қоймаға қайтты
Документов	Құжаттар
Долг	Қарыз
Долг 	Қарыз 
Долг клиента 	Клиент қарызы 
Долг полностью закрыт 🎉	Қарыз толық жабылды 🎉
Долг поставщику	Жеткізушіге қарыз
Долг: %s	Қарыз: %s
Долги	Қарыздар
Долги клиентов не загрузились — список показан без них	Клиенттер қарыздары жүктелмеді — тізім оларсыз көрсетілді
Должников за период нет 🎉	Кезең ішінде қарыздарлар жоқ 🎉
Дополнительно: шаг продажи, штрихкоды	Қосымша: сату қадамы, штрих-кодтар
Дополнительные штрихкоды	Қосымша штрих-кодтар
Доставка	Жеткізу
Доступ сохранится до конца оплаченного периода, потом Премиум отключится. Возобновить можно будет до этой даты.	Қолжетімділік төленген кезең соңына дейін сақталады, содан кейін Премиум өшеді. Осы күнге дейін жаңартуға болады.
Доступно к возврату: %s %s	Қайтаруға қолжетімді: %s %s
Доступно только владельцу магазина	Тек дүкен иесіне қолжетімді
Дробный товар: можно продать часть — например 0,5.	Бөлшек тауар: бөлігін сатуға болады — мысалы 0,5.
Другое	Басқа
Единиц	Бірлік
Единица	Бірлік
Единица измерения	Өлшем бірлігі
Есть долг	Қарызы бар
Ещё	Тағы
Ждут обработки	Өңдеуді күтуде
Журнал	Журнал
Журнал доступен владельцу и менеджерам	Журнал иесі мен менеджерлерге қолжетімді
Журнал доступен владельцу и сотрудникам с правом на настройки магазина.	Журнал иесіне және дүкен параметрлеріне құқығы бар қызметкерлерге қолжетімді.
За «%s» возвратов нет.	«%s» бойынша қайтарулар жоқ.
За «%s» приходов нет.	«%s» бойынша кірістер жоқ.
За «%s» проверок нет.	«%s» бойынша тексерулер жоқ.
За период долги не погашали.	Кезең ішінде қарыздар өтелмеген.
За этот день записей нет.	Бұл күні жазбалар жоқ.
Забыли пароль?	Құпиясөзді ұмыттыңыз ба?
Загружаем архив…	Мұрағатты жүктеп жатырмыз…
Загружаем долги…	Қарыздарды жүктеп жатырмыз…
Загружаем историю товара…	Тауар тарихын жүктеп жатырмыз…
Загружаем оплаты…	Төлемдерді жүктеп жатырмыз…
Загружаем переписку…	Хат алмасуды жүктеп жатырмыз…
Загружаем покупки…	Сатып алуларды жүктеп жатырмыз…
Загружаем список…	Тізімді жүктеп жатырмыз…
Загружаем статистику…	Статистиканы жүктеп жатырмыз…
Загружаем…	Жүктеп жатырмыз…
Загрузка…	Жүктелуде…
Задайте адрес витрины в настройках	Витрина мекенжайын параметрлерде көрсетіңіз
Заказ #%s	Тапсырыс #%s
Заказ %s выполнен	%s тапсырысы орындалды
Заказ %s отменён	%s тапсырысы болдырылмады
