 · «%s»: владелец + 	 · "%s": owner + 
 · Карта: %s	 · Card: %s
 · Наличные: %s · Карта: %s	 · Cash: %s · Card: %s
 · Принял: %s	 · Received by: %s
 · Пропущено (уже есть): %s	 · Skipped (already exists): %s
 · до 	 · until 
 · закуп 	 · cost 
 · закуп %s	 · cost %s
 · обычный	 · regular
 · продано %s %s	 · sold %s %s
 · скидка %s	 · discount %s
 Проведите приход на странице «Приход».	 Record a stock-in on the "Stock-in" page.
 Продажа в минус запрещена — уменьшите количество.	 Selling below zero stock is not allowed — reduce the quantity.
 за период	 for the period
 из 	 of 
 итог в шапке посчитан по всем.	 the total in the header is calculated across all of them.
 останутся на складе — просто без категории в списке.	 will stay in stock — just without a category in the list.
 — количество	 — quantity
 — сколько вернуть	 — how many to return
 — списать (макс. 	 — write off (max. 
 — фактический остаток	 — actual stock
 → стало: 	 → now: 
%s · %s л.	%s · %s sheets
%s · Наличные: %s	%s · Cash: %s
%s мм	%s mm
%s поз.	%s items
%s поз. · отложен %s	%s items · deferred %s
%s чек. · средний %s	%s receipts · average %s
%s шт	%s pcs
%s — количество	%s — quantity
%s: %s Печатаем через системный диалог.	%s: %s Printing via the system dialog.
+ Добавить товар	+ Add item
+%s · %s поз.	+%s · %s items
1. Включите принтер и зажмите кнопку подачи, если он просит режим сопряжения.\n2. Откройте настройки Bluetooth и сопрягите устройство — код обычно 0000 или 1234.\n3. Вернитесь сюда и выберите его в списке.\n\nЕсли принтер не отвечает, чек всё равно не пропадёт: он уйдёт в системный диалог печати Android.	1. Turn on the printer and hold the feed button if it asks for pairing mode.\n2. Open Bluetooth settings and pair the device — the code is usually 0000 or 1234.\n3. Come back here and pick it from the list.\n\nIf the printer does not respond, the receipt will not be lost: it will go to the Android system print dialog.
10 дней	10 days
58 мм	58 mm
6-значный код	6-digit code
72 мм	72 mm
80 мм	80 mm
Bluetooth выключен	Bluetooth is off
Bluetooth-принтер	Bluetooth printer
FonRo · Новый заказ	FonRo · New order
FonRo · Поддержка	FonRo · Support
FonRo Премиум активен	FonRo Premium is active
sale.title	sale.title
«%s» будет скрыт из продажи. Остаток и история сохранятся.	"%s" will be hidden from sale. Stock and history will be kept.
«%s» исчезнет из фильтров. 	"%s" will disappear from filters. 
«%s» исчезнет из фильтров. Товары останутся на складе.	"%s" will disappear from filters. Items will stay in stock.
«%s» на %s будет отменён.	"%s" for %s will be cancelled.
«%s» сразу потеряет доступ. 	"%s" will lose access immediately. 
«%s» сразу потеряет доступ. Слот ключа освободится.	"%s" will lose access immediately. The key slot will be freed.
«%s» уже в документе	"%s" is already in the document
«%s»: в чеке %s, на складе %s.	"%s": %s in the receipt, %s in stock.
«%s»: добавлено %s %s — больше нет на складе	"%s": %s %s added — no more in stock
«%s»: максимум %s %s — в минус нельзя	"%s": maximum %s %s — cannot go below zero
«%s»: на складе ноль — списывать нечего	"%s": zero in stock — nothing to write off
«%s»: не указана цена продажи — продать нельзя	"%s": no sale price set — cannot sell
«%s»: нет на складе	"%s": out of stock
«Выйти» на устройстве освобождает место само. Отвяжите устройство, если оно незнакомое или потеряно.	"Log out" on the device frees the slot by itself. Unlink the device if it is unfamiliar or lost.
· остаток %s %s	· stock %s %s
Автор не указан	Author not specified
Адрес	Address
Акт списания	Write-off report
Активен	Active
Активна	Active
