 · «%s»: владелец + 	 · «%s»: egasi + 
 · Карта: %s	 · Karta: %s
 · Наличные: %s · Карта: %s	 · Naqd: %s · Karta: %s
 · Принял: %s	 · Qabul qildi: %s
 · Пропущено (уже есть): %s	 · O‘tkazib yuborildi (allaqachon bor): %s
 · до 	 · gacha 
 · закуп 	 · tan narx 
 · закуп %s	 · tan narx %s
 · обычный	 · oddiy
 · продано %s %s	 · sotildi %s %s
 · скидка %s	 · chegirma %s
 Проведите приход на странице «Приход».	 «Kirim» sahifasida tovar qabul qilishni o‘tkazing.
 Продажа в минус запрещена — уменьшите количество.	 Minusga sotish taqiqlangan — miqdorni kamaytiring.
 за период	 davr uchun
 из 	 dan 
 итог в шапке посчитан по всем.	 sarlavhadagi jami hammasi bo‘yicha hisoblangan.
 останутся на складе — просто без категории в списке.	 omborda qoladi — ro‘yxatda shunchaki kategoriyasiz bo‘ladi.
 — количество	 — miqdor
 — сколько вернуть	 — qancha qaytarish
 — списать (макс. 	 — hisobdan chiqarish (maks. 
 — фактический остаток	 — haqiqiy qoldiq
 → стало: 	 → bo‘ldi: 
%s · %s л.	%s · %s varaq
%s · Наличные: %s	%s · Naqd: %s
%s мм	%s mm
%s поз.	%s poz.
%s поз. · отложен %s	%s poz. · kechiktirilgan %s
%s чек. · средний %s	%s chek. · o‘rtacha %s
%s шт	%s dona
%s — количество	%s — miqdor
%s: %s Печатаем через системный диалог.	%s: %s Tizim oynasi orqali chop etamiz.
+ Добавить товар	+ Mahsulot qo‘shish
+%s · %s поз.	+%s · %s poz.
1. Включите принтер и зажмите кнопку подачи, если он просит режим сопряжения.\n2. Откройте настройки Bluetooth и сопрягите устройство — код обычно 0000 или 1234.\n3. Вернитесь сюда и выберите его в списке.\n\nЕсли принтер не отвечает, чек всё равно не пропадёт: он уйдёт в системный диалог печати Android.	1. Printerni yoqing va agar u ulanish rejimini so‘rasa, qog‘oz uzatish tugmasini bosib turing.\n2. Bluetooth sozlamalarini oching va qurilmani ulang — kod odatda 0000 yoki 1234.\n3. Bu yerga qaytib, uni ro‘yxatdan tanlang.\n\nAgar printer javob bermasa, chek baribir yo‘qolmaydi: u Android tizimining chop etish oynasiga yuboriladi.
10 дней	10 kun
58 мм	58 mm
6-значный код	6 xonali kod
72 мм	72 mm
80 мм	80 mm
Bluetooth выключен	Bluetooth o‘chirilgan
Bluetooth-принтер	Bluetooth-printer
FonRo · Новый заказ	FonRo · Yangi buyurtma
FonRo · Поддержка	FonRo · Qo‘llab-quvvatlash
FonRo Премиум активен	FonRo Premium faol
sale.title	sale.title
«%s» будет скрыт из продажи. Остаток и история сохранятся.	«%s» sotuvdan yashiriladi. Qoldiq va tarix saqlanadi.
«%s» исчезнет из фильтров. 	«%s» filtrlardan yo‘qoladi. 
«%s» исчезнет из фильтров. Товары останутся на складе.	«%s» filtrlardan yo‘qoladi. Mahsulotlar omborda qoladi.
«%s» на %s будет отменён.	«%s» %s ga bekor qilinadi.
«%s» сразу потеряет доступ. 	«%s» darhol kirish huquqini yo‘qotadi. 
