 · «%s»: владелец + 	 · «%s»: соҳиб + 
 · Карта: %s	 · Корт: %s
 · Наличные: %s · Карта: %s	 · Нақд: %s · Корт: %s
 · Принял: %s	 · Қабул кард: %s
 · Пропущено (уже есть): %s	 · Партофта шуд (аллакай ҳаст): %s
 · до 	 · то 
 · закуп 	 · харид 
 · закуп %s	 · харид %s
 · обычный	 · оддӣ
 · продано %s %s	 · фурӯхта шуд %s %s
 · скидка %s	 · тахфиф %s
 Проведите приход на странице «Приход».	 Воридотро дар саҳифаи «Воридот» гузаронед.
 Продажа в минус запрещена — уменьшите количество.	 Фурӯш ба минус манъ аст — миқдорро кам кунед.
 за период	 барои давра
 из 	 аз 
 итог в шапке посчитан по всем.	 натиҷаи дар сарлавҳа аз рӯи ҳама ҳисоб шудааст.
 останутся на складе — просто без категории в списке.	 дар анбор мемонанд — танҳо дар рӯйхат бе категория.
 — количество	 — миқдор
 — сколько вернуть	 — чанд то баргардонида шавад
 — списать (макс. 	 — аз ҳисоб баровардан (ҳадди аксар 
 — фактический остаток	 — боқимондаи воқеӣ
 → стало: 	 → шуд: 
%s · %s л.	%s · %s вар.
%s · Наличные: %s	%s · Нақд: %s
%s мм	%s мм
%s поз.	%s мавқ.
%s поз. · отложен %s	%s мавқ. · таъхиршуда %s
%s чек. · средний %s	%s чек · миёна %s
%s шт	%s дона
%s — количество	%s — миқдор
%s: %s Печатаем через системный диалог.	%s: %s Тавассути муколамаи системавӣ чоп мекунем.
+ Добавить товар	+ Мол илова кардан
+%s · %s поз.	+%s · %s мавқ.
1. Включите принтер и зажмите кнопку подачи, если он просит режим сопряжения.\n2. Откройте настройки Bluetooth и сопрягите устройство — код обычно 0000 или 1234.\n3. Вернитесь сюда и выберите его в списке.\n\nЕсли принтер не отвечает, чек всё равно не пропадёт: он уйдёт в системный диалог печати Android.	1. Принтерро фурӯзон кунед ва тугмаи додани коғазро нигоҳ доред, агар он ҳолати ҷуфтшавиро талаб кунад.\n2. Танзимоти Bluetooth-ро кушоед ва дастгоҳро ҷуфт кунед — код одатан 0000 ё 1234 аст.\n3. Ба ин ҷо баргардед ва онро аз рӯйхат интихоб кунед.\n\nАгар принтер ҷавоб надиҳад, чек ба ҳар ҳол гум намешавад: он ба муколамаи системавии чопи Android меравад.
10 дней	10 рӯз
58 мм	58 мм
6-значный код	Коди 6-рақама
72 мм	72 мм
80 мм	80 мм
Bluetooth выключен	Bluetooth хомӯш аст
Bluetooth-принтер	Bluetooth-принтер
FonRo · Новый заказ	FonRo · Фармоиши нав
FonRo · Поддержка	FonRo · Дастгирӣ
FonRo Премиум активен	FonRo Премиум фаъол аст
sale.title	sale.title
«%s» будет скрыт из продажи. Остаток и история сохранятся.	«%s» аз фурӯш пинҳон мешавад. Боқимонда ва таърих нигоҳ дошта мешаванд.
«%s» исчезнет из фильтров. 	«%s» аз филтрҳо нопадид мешавад. 
«%s» исчезнет из фильтров. Товары останутся на складе.	«%s» аз филтрҳо нопадид мешавад. Молҳо дар анбор мемонанд.
«%s» на %s будет отменён.	«%s» дар %s бекор карда мешавад.
«%s» сразу потеряет доступ. 	«%s» фавран дастрасиро гум мекунад. 
«%s» сразу потеряет доступ. Слот ключа освободится.	«%s» фавран дастрасиро гум мекунад. Ҷойгаҳи калид озод мешавад.
«%s» уже в документе	«%s» аллакай дар ҳуҷҷат аст
«%s»: в чеке %s, на складе %s.	«%s»: дар чек %s, дар анбор %s.
«%s»: добавлено %s %s — больше нет на складе	«%s»: илова шуд %s %s — дар анбор дигар нест
«%s»: максимум %s %s — в минус нельзя	«%s»: ҳадди аксар %s %s — ба минус мумкин нест
«%s»: на складе ноль — списывать нечего	«%s»: дар анбор сифр — аз ҳисоб баровардан чизе нест
«%s»: не указана цена продажи — продать нельзя	«%s»: нархи фурӯш нишон дода нашудааст — фурӯхтан мумкин нест
«%s»: нет на складе	«%s»: дар анбор нест
«Выйти» на устройстве освобождает место само. Отвяжите устройство, если оно незнакомое или потеряно.	«Баромадан» дар дастгоҳ ҷойро худаш озод мекунад. Дастгоҳро ҷудо кунед, агар он ношинос ё гумшуда бошад.
· остаток %s %s	· боқимонда %s %s
Автор не указан	Муаллиф нишон дода нашудааст
Адрес	Суроға
Акт списания	Санади аз ҳисоб баровардан
Активен	Фаъол
Активна	Фаъол
Активна до %s, потом отключится	То %s фаъол, баъд хомӯш мешавад
Активна до конца оплаченного периода	То охири давраи пардохтшуда фаъол
Активны: 	Фаъол: 
Активные	Фаъолҳо
Активные входы	Вурудҳои фаъол
Активные категории	Категорияҳои фаъол
Активные товары	Молҳои фаъол
Активных категорий нет.	Категорияҳои фаъол нест.
Арт: %s	Арт: %s
Артикул	Артикул
Артикул / внутренний код	Артикул / коди дохилӣ
Архив	Бойгонӣ
Архив · 	Бойгонӣ · 
Архив категорий	Бойгонии категорияҳо
Архив пуст.	Бойгонӣ холӣ аст.
Архив товаров	Бойгонии молҳо
Архивировать	Ба бойгонӣ
Архивировать категорию?	Категория ба бойгонӣ фиристода шавад?
Архивировать товар?	Мол ба бойгонӣ фиристода шавад?
Архивная категория не показывается в фильтрах и в форме товара. Товары при этом остаются на складе.	Категорияи бойгонишуда дар филтрҳо ва дар шакли мол нишон дода намешавад. Молҳо бошанд дар анбор мемонанд.
Аудит	Аудит
Без доступа к Bluetooth список принтеров не открыть	Бе дастрасӣ ба Bluetooth рӯйхати принтерҳоро кушодан мумкин нест
Без имени	Бе ном
Без категории	Бе категория
Без клиента	Бе мизоҷ
Без кода	Бе код
Без кода · %s	Бе код · %s
Без лишнего тапа: чек уходит на принтер, как только продажа проведена	Бе зарбаи иловагӣ: чек ҳамин ки фурӯш гузаронида шуд, ба принтер меравад
Без поставщика	Бе таъминотчӣ
Бесплатные продажи закончились (%s). Выберите тариф, чтобы продолжать продавать и проводить приход.	Фурӯшҳои ройгон тамом шуданд (%s). Тарифро интихоб кунед, то фурӯшро идома диҳед ва воридот гузаронед.
Бесплатный лимит веб-версии FonRo (%s) исчерпан. 	Лимити ройгони версияи вебии FonRo (%s) тамом шуд. 
Бесплатный полный доступ активен	Дастрасии пурраи ройгон фаъол аст
Бесплатный полный доступ до %s	Дастрасии пурраи ройгон то %s
Больше остатка списать нельзя	Аз боқимонда зиёдтар аз ҳисоб баровардан мумкин нест
Буфер обмена недоступен	Ҳофизаи муваққатӣ дастнорас аст
Было: 	Буд: 
Быстрые действия	Амалҳои зуд
В архив	Ба бойгонӣ
В архиве	Дар бойгонӣ
В ближайшие дни: %s · 	Дар рӯзҳои наздик: %s · 
В долг	Ба қарз
В заказе нет позиций.	Дар фармоиш мавқеъ нест.
